ua
"Mozilla/5.0 (Linux; Android 10; VOG-AL00 Build/HUAWEIVOG-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20240501 MMWEBID/1334 MicroMessenger/8.0.50.2701(0x2800325B) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64 miniProgram/wx1753810b04aff5f8"
Dalvik/2.1.0 (Linux; U; Android 10; MI 8 Lite MIUI/20.9.4)
Dalvik/2.1.0 (Linux; U; Android 14; V2318 Build/UP1A.231005.007)
"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.14 Safari/537.36"
"Mozilla/5.0 (Linux; U; Android 12; zh-cn; M2002J9E Build/SKQ1.211006.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.118 Mobile Safari/537.36 XiaoMi/MiuiBrowser/18.1.20304 swan-mibrowser"
"Mozilla/5.0 (Linux; Android 12; VNE-AN00 Build/HONORVNE-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20240501 MMWEBID/7917 MicroMessenger/8.0.50.2701(0x2800323C) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64 miniProgram/wx1753810b04aff5f8"
"Mozilla/5.0 (Linux; Android 12; OXF-AN00 Build/HUAWEIOXF-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 V1_AND_SQ_9.1.10_7858_YYB_D QQ/9.1.10.20545 NetType/WIFI WebP/0.4.1 AppId/537251383 Pixel/1080 StatusBarHeight/135 SimpleUISwitch/0 QQTheme/1103 StudyMode/0 CurrentMode/0 CurrentFontScale/1.0 GlobalDensityScale/0.90000004 AllowLandscape/false InMagicWin/0"
"Mozilla/5.0 (Linux; Android 12; M2012K11AC Build/SKQ1.211006.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36 os/android model/M2012K11AC build/8220300 osVer/12 sdkInt/31 network/1 BiliApp/8220300 mobi_app/android channel/xiaomi Buvid/XX3181330C2E50A9E1630DBDCF48EFC53748D sessionID/5bebd437 innerVer/8220310 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/1 sh/29"
Dalvik/2.1.0 (Linux; U; Android 13; SM-S918B Build/TP1A.220624.014)
"Mozilla/5.0 (Linux; Android 12; EBG-AN00 Build/HUAWEIEBG-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20241101 MMWEBID/1654 MicroMessenger/8.0.54.2760(0x28003636) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64 miniProgram/wx1753810b04aff5f8"
"Mozilla/5.0 (Linux; Android 13; 23013RK75C Build/TKQ1.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/13.75 SP-engine/3.16.0 baiduboxapp/13.75.0.10 (Baidu; P1 13) NABar/1.0"
